backend,mesh,density,arm,state,repeat,request,ok,seconds,engagement,count_matched,quads,quad_ratio,singularities,singularity_ratio,angle_dev_mean,angle_dev_median,angle_dev_p95,flow_loop_mean_len,flow_turning_mean,hausdorff_p99,chamfer_mean,feature_recall,edge_length_cv,error
nogeo,stanford-bunny,3000,mixed,guided,1,3000,True,14.42,steered(injected=0),True,2535,0.9829391236913533,92,0.03570042685292976,6.711787819281322,4.175704579311805,20.24891302742539,60.357142857142854,14.072644590588776,0.007085465173408735,0.002034246064461737,0.5615292712066906,0.2693193031430695,
nogeo,stanford-bunny,3000,mixed,guided,2,3000,True,14.48,steered(injected=0),True,2535,0.9829391236913533,92,0.03570042685292976,6.711787819281322,4.175704579311805,20.24891302742539,60.357142857142854,14.072644590588776,0.007085465173408735,0.002034246064461737,0.5615292712066906,0.2693193031430695,
geo,spot,500,mixed,off,0,500,True,0.23,flag-unread,True,444,0.9955156950672646,65,0.1447661469933185,18.96335385016523,15.693465265238409,47.840631625299196,80.72727272727273,33.53227976124414,0.020441442129859343,0.006728695532500055,0.20348837209302326,0.6022457645620839,
geo,spot,500,mixed,guided,0,500,True,0.22,flag-unread,True,444,0.9955156950672646,65,0.1447661469933185,18.96335385016523,15.693465265238409,47.840631625299196,80.72727272727273,33.53227976124414,0.020441442129859343,0.006728695532500055,0.20348837209302326,0.6022457645620839,
geo,spot,500,pure,off,0,500,True,0.24,flag-unread,True,798,1.0,86,0.1075,11.196612426312623,8.50751924507778,30.4147080265957,228.0,24.986731545540703,0.022114544997465818,0.003707413567293677,0.45930232558139533,0.4472091462365469,
geo,spot,500,pure,guided,0,500,True,0.24,flag-unread,True,798,1.0,86,0.1075,11.196612426312623,8.50751924507778,30.4147080265957,228.0,24.986731545540703,0.022114544997465818,0.003707413567293677,0.45930232558139533,0.4472091462365469,
geo,spot,1000,mixed,off,0,1000,True,0.33,flag-unread,True,884,0.9977426636568849,87,0.09786276715410573,16.265719205121933,12.05736176759676,46.13496444018734,84.19047619047619,25.91258390547776,0.009792241697410142,0.003805336971851365,0.3546511627906977,0.6194037652661778,
geo,spot,1000,mixed,guided,0,1000,True,0.34,flag-unread,True,884,0.9977426636568849,87,0.09786276715410573,16.265719205121933,12.05736176759676,46.13496444018734,84.19047619047619,25.91258390547776,0.009792241697410142,0.003805336971851365,0.3546511627906977,0.6194037652661778,
geo,spot,1000,pure,off,0,1000,True,0.23,flag-unread,True,1094,1.0,70,0.06398537477148081,17.220929635187865,11.284757577051735,57.897146518982154,312.57142857142856,28.413252127658897,0.010538967627068243,0.0024776972931758955,0.3546511627906977,0.3433009296322749,
geo,spot,1000,pure,guided,0,1000,True,0.22,flag-unread,True,1094,1.0,70,0.06398537477148081,17.220929635187865,11.284757577051735,57.897146518982154,312.57142857142856,28.413252127658897,0.010538967627068243,0.0024776972931758955,0.3546511627906977,0.3433009296322749,
geo,spot,1500,mixed,off,0,1500,True,0.44,flag-unread,True,1189,0.998320738874895,82,0.06867671691792294,14.274196514107535,10.861588631903892,40.20383048586217,103.3913043478261,22.061989995694884,0.00684598285183147,0.002830632874218044,0.6162790697674418,0.5869272692603895,
geo,spot,1500,mixed,guided,0,1500,True,0.45,flag-unread,True,1189,0.998320738874895,82,0.06867671691792294,14.274196514107535,10.861588631903892,40.20383048586217,103.3913043478261,22.061989995694884,0.00684598285183147,0.002830632874218044,0.6162790697674418,0.5869272692603895,
geo,spot,1500,pure,off,0,1500,True,0.26,flag-unread,True,1388,1.0,64,0.0460431654676259,14.638930071902132,10.481398023402328,43.603475909902336,347.0,23.662892220749242,0.00950973082737096,0.0021835021621289265,0.36046511627906974,0.30113801240980426,
geo,spot,1500,pure,guided,0,1500,True,0.26,flag-unread,True,1388,1.0,64,0.0460431654676259,14.638930071902132,10.481398023402328,43.603475909902336,347.0,23.662892220749242,0.00950973082737096,0.0021835021621289265,0.36046511627906974,0.30113801240980426,
geo,spot,2000,mixed,off,0,2000,True,0.5,flag-unread,True,1746,0.9977142857142857,70,0.03993154592127781,12.596020865240215,9.314326562317824,36.21087206591702,83.14285714285714,18.204718770478824,0.004948009346447066,0.0022922060472266212,0.7732558139534884,0.5656601773187927,
geo,spot,2000,mixed,guided,0,2000,True,0.51,flag-unread,True,1746,0.9977142857142857,70,0.03993154592127781,12.596020865240215,9.314326562317824,36.21087206591702,83.14285714285714,18.204718770478824,0.004948009346447066,0.0022922060472266212,0.7732558139534884,0.5656601773187927,
geo,spot,2000,pure,off,0,2000,True,0.3,flag-unread,True,1786,1.0,67,0.03747203579418344,13.026769486097885,9.822262189865299,35.161543946353994,188.0,19.483405173370716,0.005591268456338569,0.001912273179914481,0.5697674418604651,0.33360716557033937,
geo,spot,2000,pure,guided,0,2000,True,0.31,flag-unread,True,1786,1.0,67,0.03747203579418344,13.026769486097885,9.822262189865299,35.161543946353994,188.0,19.483405173370716,0.005591268456338569,0.001912273179914481,0.5697674418604651,0.33360716557033937,
geo,spot,3000,mixed,off,0,3000,True,0.4,flag-unread,True,3331,0.9996998799519808,91,0.027286356821589204,12.828786213648305,9.83174806691116,36.09451850617674,222.06666666666666,14.191294366099036,0.003981431396200058,0.0018524937875521199,0.8546511627906976,0.5984995417156214,
geo,spot,3000,mixed,guided,0,3000,True,0.41,flag-unread,True,3331,0.9996998799519808,91,0.027286356821589204,12.828786213648305,9.83174806691116,36.09451850617674,222.06666666666666,14.191294366099036,0.003981431396200058,0.0018524937875521199,0.8546511627906976,0.5984995417156214,
geo,spot,3000,pure,off,0,3000,True,0.38,flag-unread,True,2502,1.0,74,0.029552715654952075,12.566280092205348,8.66104218976377,38.015984066512544,161.41935483870967,18.62013653286262,0.004400418882797587,0.001737508318922097,0.686046511627907,0.33704822691534125,
geo,spot,3000,pure,guided,0,3000,True,0.39,flag-unread,True,2502,1.0,74,0.029552715654952075,12.566280092205348,8.66104218976377,38.015984066512544,161.41935483870967,18.62013653286262,0.004400418882797587,0.001737508318922097,0.686046511627907,0.33704822691534125,
geo,spot,4500,mixed,off,0,4500,True,0.61,flag-unread,True,4816,0.9997924019099025,88,0.018257261410788383,11.51926336887133,8.79185340876002,32.166776586933814,310.7096774193548,11.946213508654951,0.0036885374381941676,0.0016666628018384203,0.8895348837209303,0.5775707917482195,
geo,spot,4500,mixed,guided,0,4500,True,0.58,flag-unread,True,4816,0.9997924019099025,88,0.018257261410788383,11.51926336887133,8.79185340876002,32.166776586933814,310.7096774193548,11.946213508654951,0.0036885374381941676,0.0016666628018384203,0.8895348837209303,0.5775707917482195,
geo,spot,4500,pure,off,0,4500,True,0.49,flag-unread,True,4016,1.0,91,0.02264808362369338,11.434688156318558,7.067940633374725,39.6044224694215,167.33333333333334,17.221035983684775,0.003811651156668348,0.0016056397052910964,0.7209302325581395,0.3321455579008014,
geo,spot,4500,pure,guided,0,4500,True,0.5,flag-unread,True,4016,1.0,91,0.02264808362369338,11.434688156318558,7.067940633374725,39.6044224694215,167.33333333333334,17.221035983684775,0.003811651156668348,0.0016056397052910964,0.7209302325581395,0.3321455579008014,
geo,spot,6000,mixed,off,0,6000,True,0.69,flag-unread,True,6128,1.0,85,0.013866231647634585,11.372036202480095,8.673001484866262,31.308594488603823,350.1714285714286,10.55991838523027,0.003618509261857215,0.0015993609352128798,0.9534883720930233,0.5537388595404343,
geo,spot,6000,mixed,guided,0,6000,True,0.7,flag-unread,True,6128,1.0,85,0.013866231647634585,11.372036202480095,8.673001484866262,31.308594488603823,350.1714285714286,10.55991838523027,0.003618509261857215,0.0015993609352128798,0.9534883720930233,0.5537388595404343,
geo,spot,6000,pure,off,0,6000,True,0.59,flag-unread,True,4766,1.0,84,0.01761744966442953,11.397659751031542,8.150167349399318,33.7829987266694,232.4878048780488,15.826741879054111,0.003849047664579363,0.001585127195262952,0.813953488372093,0.34159312826463567,
